iTOW,tAcc,nano,year,month,day,hour,min,sec
496830000,17,242998,2016,4,1,18,0,13
496860000,15,228157,2016,4,1,18,0,43
496890000,14,213305,2016,4,1,18,1,13
496920000,13,198432,2016,4,1,18,1,43
496950000,16,183535,2016,4,1,18,2,13
496980000,14,168637,2016,4,1,18,2,43
497010000,13,153748,2016,4,1,18,3,13
497040000,12,138843,2016,4,1,18,3,43
497070000,12,123935,2016,4,1,18,4,13
497100000,12,109031,2016,4,1,18,4,43
497130000,11,94123,2016,4,1,18,5,13
497160000,12,79208,2016,4,1,18,5,43
497190000,12,64277,2016,4,1,18,6,13
497220000,10,49343,2016,4,1,18,6,43
497250000,14,34420,2016,4,1,18,7,13
497280000,14,19489,2016,4,1,18,7,43
497310000,13,4554,2016,4,1,18,8,13
497370000,13,-25342,2016,4,1,18,9,13
497430000,11,-55293,2016,4,1,18,10,13
497490000,18,-85318,2016,4,1,18,11,13
497550000,18,-115325,2016,4,1,18,12,13
497610000,13,-145359,2016,4,1,18,13,13
497670000,13,-175444,2016,4,1,18,14,13
497730000,13,-205573,2016,4,1,18,15,13
497790000,18,-235707,2016,4,1,18,16,13
497850000,21,-265885,2016,4,1,18,17,13
497910000,21,-296085,2016,4,1,18,18,13
497970000,17,-326295,2016,4,1,18,19,13
498030000,20,-356536,2016,4,1,18,20,13
498090000,34,-386851,2016,4,1,18,21,13
498150000,26,-417249,2016,4,1,18,22,13
498210000,19,-447588,2016,4,1,18,23,13
498270000,20,-477964,2016,4,1,18,24,13
498329999,42,-508388,2016,4,1,18,25,13
498390000,34,461128,2016,4,1,18,26,13
498450000,23,430674,2016,4,1,18,27,13
498510000,19,400163,2016,4,1,18,28,13
498600000,18,354369,2016,4,1,18,29,43
498690000,26,308488,2016,4,1,18,31,13
498780000,26,262588,2016,4,1,18,32,43
498870000,27,216654,2016,4,1,18,34,13
498960000,33,170592,2016,4,1,18,35,43
499050000,27,124554,2016,4,1,18,37,13
499140000,25,78480,2016,4,1,18,38,43
499230000,26,32340,2016,4,1,18,40,13
499320000,28,-13863,2016,4,1,18,41,43
499410000,34,-60173,2016,4,1,18,43,13
499500000,34,-106564,2016,4,1,18,44,43
499590000,35,-152986,2016,4,1,18,46,13
499680000,32,-199534,2016,4,1,18,47,43
499770000,32,-246186,2016,4,1,18,49,13
499860000,24,-292954,2016,4,1,18,50,43
499866960,2,959703424,2016,4,1,18,50,49
499980000,21,-355519,2016,4,1,18,52,43
500100000,21,-418169,2016,4,1,18,54,43
500220000,18,-480987,2016,4,1,18,56,43
500340000,17,456027,2016,4,1,18,58,43
